127.0.0.1 - - [29/Apr/2019:23:53:50 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:51 +0530] "GET /CollFrontend/ HTTP/1.1" 200 9588
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:52 +0530] "GET /CollFrontend/services/BlogService.js HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:52 +0530] "GET /CollFrontend/blog//BlogController.js HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:52 +0530] "GET /CollFrontend/services/JobService.js HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:52 +0530] "GET /CollFrontend/js//MyAngular.js HTTP/1.1" 200 2154
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:52 +0530] "GET /CollFrontend/user//UserController.js HTTP/1.1" 200 4157
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:52 +0530] "GET /CollFrontend/services/FriendService.js HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:52 +0530] "GET /CollFrontend/blog//BlogOperationController.js HTTP/1.1" 200 5998
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:52 +0530] "GET /CollFrontend/friend//FriendController.js HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:52 +0530] "GET /CollFrontend/jobs//JobController.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:52 +0530] "GET /CollFrontend/services//ChatService.js HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:52 +0530] "GET /CollFrontend/chat//ChatController.js HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:52 +0530] "GET /CollFrontend/notification//NotificationController.js HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:52 +0530] "GET /CollFrontend/services//NotificationService.js HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:52 +0530] "GET /CollFrontend/js//sockjs//sock.js HTTP/1.1" 200 75186
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:52 +0530] "GET /CollFrontend/js//stompjs//stomp.js HTTP/1.1" 200 10998
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:52 +0530] "GET null HTTP/1.1" 400 2319
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:53 +0530] "GET /CollFrontend/main.html HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:56 +0530] "GET /CollFrontend/user/SignUp.htm HTTP/1.1" 200 2287
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:53:58 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:54:07 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:54:07 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:54:08 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:54:08 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:54:08 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:54:08 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:54:08 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:54:08 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:54:34 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:54:36 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:54:36 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:54:36 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:56:36 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:56:37 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:56:38 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:56:38 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:56:59 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:57:16 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:57:17 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:57:17 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:57:17 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:57:17 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:57:17 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:57:17 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:57:18 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:57:18 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:57:18 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:57:41 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2019:23:57:57 +0530] "POST /CollMiddleware/register HTTP/1.1" 404 1101
